thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"22 Feb 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.070","0.065","0.095","0.090","0.010","12.50","24,202","0.060 / 200","0.100 / 100"
"22 Feb 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","-","-","-","0.500","0.000","0.00","0","0.000 / 0","0.535 / 100"
"22 Feb 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","0.345","0.340","0.380","0.380","0.020","5.56","139,550","0.000 / 0","0.000 / 0"
"22 Feb 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","-","-","-","0.185","0.000","0.00","0","0.000 / 0","0.000 / 0"
"22 Feb 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.190","0.185","0.230","0.230","0.010","4.55","144,500","0.185 / 180","0.230 / 200"
"22 Feb 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","-","-","-","0.500","0.000","0.00","0","0.450 / 300","0.660 / 100"
"22 Feb 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","0.720","0.705","0.780","0.780","0.035","4.70","230,660","0.000 / 0","0.000 / 0"
"22 Feb 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.375","0.370","0.420","0.420","0.025","6.33","270,339","0.250 / 50","0.000 / 0"
"22 Feb 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"22 Feb 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","0.015","0.015","0.015","0.015","0.000","0.00","330","0.010 / 500","0.015 / 670"
"22 Feb 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.035 / 500","0.000 / 0"
"22 Feb 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.170","0.135","0.170","0.135","-0.020","-12.90","5,318","0.000 / 0","0.000 / 0"
"22 Feb 2019","ASTRAL ASIA BHD","AASIA","-","-","-","0.145","0.000","0.00","0","0.145 / 1,035","0.155 / 410"
"22 Feb 2019","AIRASIA X BERHAD","AAX","0.265","0.260","0.270","0.260","-0.030","-10.34","522,201","0.260 / 141,090","0.265 / 28,229"
"22 Feb 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 11,500"
"22 Feb 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","0.005","0.005","0.005","0.005","0.000","0.00","500","0.000 / 0","0.000 / 0"
"22 Feb 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.060","0.060","0.065","0.060","-0.015","-20.00","67,522","0.060 / 2,647","0.065 / 33,149"
"22 Feb 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","1.170","1.170","1.170","1.170","0.010","0.86","50","1.160 / 1,013","1.165 / 950"
"22 Feb 2019","ABLEGROUP BERHAD","ABLEGRP","0.080","0.075","0.080","0.080","0.000","0.00","7,605","0.075 / 1,028","0.080 / 5,729"
"22 Feb 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.220","4.220","4.260","4.250","0.000","0.00","18,037","4.220 / 50","4.250 / 290"
"22 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"22 Feb 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"22 Feb 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.230","0.000","0.00","0","0.230 / 150","0.300 / 47"
"22 Feb 2019","ACOUSTECH BHD","ACOSTEC","0.420","0.415","0.430","0.430","0.010","2.38","6,435","0.425 / 2,044","0.430 / 1,343"
"22 Feb 2019","ADVANCECON HOLDINGS BERHAD","ADVCON","0.355","0.350","0.355","0.355","0.000","0.00","10,284","0.350 / 650","0.355 / 300"
"22 Feb 2019","ADVENTA BHD","ADVENTA","0.370","0.350","0.370","0.350","-0.010","-2.78","610","0.355 / 200","0.370 / 150"
"22 Feb 2019","ADVANCED PACKAGING TECHNOLOGY","ADVPKG","-","-","-","1.930","0.000","0.00","0","1.930 / 30","0.000 / 0"
"22 Feb 2019","AE MULTI HOLDINGS BHD","AEM","0.120","0.120","0.120","0.120","0.000","0.00","2,680","0.115 / 4,145","0.120 / 90"
"22 Feb 2019","AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019","AEM-WA","-","-","-","0.005","0.000","0.00","0","0.005 / 13,600","0.010 / 36,522"
"22 Feb 2019","AEMULUS HOLDINGS BERHAD","AEMULUS","0.275","0.255","0.275","0.260","-0.015","-5.45","38,125","0.260 / 189","0.265 / 1,705"
"22 Feb 2019","AEON CO. (M) BHD","AEON","1.540","1.530","1.610","1.570","0.030","1.95","68,905","1.570 / 426","1.580 / 6"
"22 Feb 2019","AEON-CN: CW AEON CO. (M) BERHAD (MIBB)","AEON-CN","-","-","-","0.015","0.000","0.00","0","0.000 / 0","0.000 / 0"
"22 Feb 2019","AEON-CO: CW AEON CO. (M) BERHAD (CIMB)","AEON-CO","0.045","0.045","0.065","0.065","0.015","30.00","15,466","0.045 / 220","0.065 / 3,260"
"22 Feb 2019","AEON-CP: CW AEON CO (M) BERHAD (RHB)","AEON-CP","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"22 Feb 2019","AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)","AEON-CQ","0.035","0.030","0.035","0.035","0.000","0.00","6,500","0.000 / 0","0.000 / 0"
"22 Feb 2019","AEON CREDIT SERVICE (M) BHD","AEONCR","17.000","16.720","17.140","17.000","0.060","0.35","1,562","16.720 / 1","17.000 / 37"
