thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"06 Mar 2019","FBMKLCI-H6N: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ)","FBMKLCI-H6N","-","-","-","0.210","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FBMKLCI-H6O: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ)","FBMKLCI-H6O","-","-","-","0.290","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FBMKLCI-H6P: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB)","FBMKLCI-H6P","0.050","0.045","0.055","0.050","-0.005","-9.09","2,696","0.045 / 3,196","0.050 / 773"
"06 Mar 2019","FBMKLCI-H6Q: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB)","FBMKLCI-H6Q","0.085","0.085","0.095","0.090","0.010","12.50","1,481","0.080 / 625","0.095 / 790"
"06 Mar 2019","FBMKLCI-H6R: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ)","FBMKLCI-H6R","-","-","-","0.240","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FBMKLCI-H6S: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ)","FBMKLCI-H6S","0.360","0.355","0.360","0.360","0.000","0.00","6,900","0.000 / 0","0.000 / 0"
"06 Mar 2019","FBMKLCI-H6T: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB)","FBMKLCI-H6T","0.090","0.090","0.090","0.090","0.000","0.00","400","0.070 / 140","0.000 / 0"
"06 Mar 2019","FBMKLCI-H6U: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ)","FBMKLCI-H6U","-","-","-","0.255","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FBMKLCI-H6V: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ)","FBMKLCI-H6V","-","-","-","0.255","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FBMKLCI-H6W: PW FTSE BURSA MALAYSIA KLCI INDEX (MIBB)","FBMKLCI-H6W","-","-","-","0.145","0.000","0.00","0","0.145 / 650","0.000 / 0"
"06 Mar 2019","FCW HOLDINGS BHD","FCW","1.050","1.020","1.060","1.050","0.030","2.94","645","1.050 / 60","1.060 / 100"
"06 Mar 2019","FGV HOLDINGS BERHAD","FGV","1.170","1.150","1.220","1.200","0.040","3.45","302,526","1.200 / 917","1.210 / 7,877"
"28 Feb 2019","FGV-C52: CW FGV HOLDINGS BERHAD (CIMB)","FGV-C52","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"28 Feb 2019","FGV-C54: CW FGV HOLDINGS BERHAD (MIBB)","FGV-C54","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FGV-C55: CW FGV HOLDINGS BERHAD (CIMB)","FGV-C55","0.015","0.015","0.015","0.015","0.005","50.00","1","0.005 / 2,900","0.015 / 8,156"
"06 Mar 2019","FGV-C56: CW FGV HOLDINGS BERHAD (MACQ)","FGV-C56","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.020 / 1,000"
"06 Mar 2019","FGV-C57: CW FGV HOLDINGS BERHAD (RHB)","FGV-C57","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FGV-C58: CW FGV HOLDINGS BERHAD (CIMB)","FGV-C58","0.010","0.010","0.010","0.010","0.000","0.00","100","0.010 / 200","0.015 / 9,333"
"06 Mar 2019","FGV-C59: CW FGV HOLDINGS BERHAD (MACQ)","FGV-C59","-","-","-","0.035","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FGV-C60: CW FGV HOLDINGS BERHAD (KIBB)","FGV-C60","-","-","-","0.010","0.000","0.00","0","0.005 / 700","0.000 / 0"
"06 Mar 2019","FGV-C61: CW FGV HOLDINGS BERHAD (MACQ)","FGV-C61","0.030","0.030","0.035","0.035","0.005","16.67","249","0.025 / 20,400","0.045 / 100"
"06 Mar 2019","FGV-C62: CW FGV HOLDINGS BERHAD (RHB)","FGV-C62","0.090","0.090","0.100","0.100","0.000","0.00","37,444","0.095 / 300","0.100 / 3,796"
"06 Mar 2019","FGV-C63: CW FGV HOLDINGS BERHAD (MACQ)","FGV-C63","0.180","0.165","0.190","0.180","0.005","2.86","234,264","0.180 / 5,485","0.185 / 5,566"
"06 Mar 2019","FGV-C64: CW FGV HOLDINGS BERHAD (RHB)","FGV-C64","-","-","-","0.240","0.000","0.00","0","0.000 / 0","0.295 / 10,000"
"06 Mar 2019","FGV-C65: CW FGV HOLDINGS BERHAD (KIBB)","FGV-C65","0.190","0.185","0.205","0.195","0.000","0.00","13,100","0.185 / 2,000","0.000 / 0"
"06 Mar 2019","FGV-C66: CW FGV HOLDINGS BERHAD (MACQ)","FGV-C66","-","-","-","0.310","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FGV-C67: CW FGV HOLDINGS BERHAD (CIMB)","FGV-C67","0.420","0.415","0.455","0.440","0.020","4.76","614","0.425 / 1,000","0.460 / 1,000"
"06 Mar 2019","FGV-C68: CW FGV HOLDINGS BERHAD (MIBB)","FGV-C68","-","-","-","0.200","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","FGV-C69: CW FGV HOLDINGS BERHAD (KIBB)","FGV-C69","-","-","-","0.120","0.000","0.00","0","0.030 / 300","0.000 / 0"
"06 Mar 2019","FIAMMA HOLDINGS BHD","FIAMMA","0.520","0.520","0.520","0.520","0.000","0.00","380","0.515 / 30","0.520 / 710"
"06 Mar 2019","FIBON BERHAD","FIBON","0.430","0.415","0.430","0.415","-0.025","-5.68","940","0.415 / 110","0.450 / 96"
"06 Mar 2019","FEDERAL INTERNATIONAL HOLDINGS BERHAD","FIHB","0.415","0.405","0.425","0.425","0.025","6.25","2,328","0.415 / 201","0.425 / 175"
"06 Mar 2019","FEDERAL INTERNATIONAL HOLDINGS BERHAD - RCPS 16/26","FIHB-PA","-","-","-","0.085","0.000","0.00","0","0.060 / 3,500","0.080 / 1,200"
"06 Mar 2019","FEDERAL INTERNATIONAL HOLDINGS BERHAD - RCPS 18/28","FIHB-PB","-","-","-","0.080","0.000","0.00","0","0.055 / 500","0.000 / 0"
"06 Mar 2019","FIMA CORPORATION BHD","FIMACOR","1.930","1.930","1.930","1.930","0.000","0.00","10","1.930 / 130","1.970 / 38"
"06 Mar 2019","FINTEC GLOBAL BERHAD","FINTEC","0.050","0.050","0.055","0.050","0.000","0.00","2,758","0.050 / 17,832","0.055 / 35,900"
