thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"15 Mar 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.140","0.140","0.190","0.160","0.020","14.29","32,799","0.020 / 100","0.160 / 400"
"15 Mar 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.770","0.765","0.770","0.765","0.050","6.99","300","0.000 / 0","0.000 / 0"
"15 Mar 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.430","0.000","0.00","0","0.000 / 0","0.000 / 0"
"15 Mar 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.230","0.230","0.250","0.240","0.015","6.67","15,332","0.000 / 0","0.255 / 50"
"15 Mar 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.280","0.280","0.335","0.330","0.040","13.79","71,938","0.325 / 51","0.330 / 1,010"
"15 Mar 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.720","0.720","0.720","0.720","0.070","10.77","100","0.720 / 200","0.000 / 0"
"15 Mar 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","-","-","-","0.880","0.000","0.00","0","0.000 / 0","0.000 / 0"
"15 Mar 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.505","0.505","0.550","0.530","0.035","7.07","5,769","0.450 / 50","0.000 / 0"
"15 Mar 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"15 Mar 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"15 Mar 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.000 / 0","0.000 / 0"
