thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"04 Mar 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.290","0.285","0.385","0.310","0.035","12.73","35,452","0.290 / 100","0.350 / 400"
"04 Mar 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.890","0.890","0.980","0.915","0.085","10.24","500","0.000 / 0","0.000 / 0"
"04 Mar 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.505","0.000","0.00","0","0.000 / 0","0.000 / 0"
"04 Mar 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.290","0.290","0.330","0.295","0.010","3.51","9,757","0.295 / 100","0.370 / 170"
"04 Mar 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.405","0.400","0.485","0.420","0.030","7.69","184,348","0.420 / 166","0.450 / 400"
"04 Mar 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.830","0.830","0.940","0.940","0.130","16.05","123","0.800 / 150","0.980 / 1"
"04 Mar 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","-","-","-","0.915","0.000","0.00","0","0.000 / 0","0.000 / 0"
"04 Mar 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.605","0.605","0.675","0.610","0.020","3.39","15,019","0.600 / 100","0.000 / 0"
"04 Mar 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"04 Mar 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.065 / 56"
"04 Mar 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.010 / 200","0.000 / 0"
"04 Mar 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.075","0.045","0.075","0.065","-0.010","-13.33","39,193","0.065 / 71","0.090 / 235"
"04 Mar 2019","ASTRAL ASIA BHD","AASIA","-","-","-","0.145","0.000","0.00","0","0.145 / 605","0.155 / 410"
"04 Mar 2019","AIRASIA X BERHAD","AAX","0.255","0.245","0.255","0.250","-0.005","-1.96","74,981","0.245 / 74,493","0.250 / 32,326"
"04 Mar 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 11,500"
"04 Mar 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"04 Mar 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.055","0.050","0.055","0.055","0.000","0.00","17,724","0.050 / 39,342","0.055 / 3,232"
"04 Mar 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","-","-","-","1.167","0.000","0.00","0","1.167 / 13","1.168 / 1,000"
"04 Mar 2019","ABLEGROUP BERHAD","ABLEGRP","-","-","-","0.070","0.000","0.00","0","0.070 / 8,549","0.075 / 1,843"
"04 Mar 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.150","4.150","4.260","4.200","0.000","0.00","7,500","4.190 / 30","4.200 / 3,341"
"27 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"04 Mar 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"04 Mar 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.230","0.000","0.00","0","0.250 / 280","0.300 / 47"
"04 Mar 2019","ACOUSTECH BHD","ACOSTEC","0.435","0.430","0.445","0.440","0.010","2.33","19,560","0.430 / 278","0.435 / 27"
"04 Mar 2019","ADVANCECON HOLDINGS BERHAD","ADVCON","0.350","0.340","0.355","0.345","0.005","1.47","8,270","0.345 / 354","0.350 / 1,250"
"04 Mar 2019","ADVENTA BHD","ADVENTA","0.370","0.360","0.370","0.360","-0.010","-2.70","222","0.355 / 250","0.360 / 8"
"04 Mar 2019","ADVANCED PACKAGING TECHNOLOGY","ADVPKG","-","-","-","1.900","0.000","0.00","0","1.800 / 50","2.000 / 179"
"04 Mar 2019","AE MULTI HOLDINGS BHD","AEM","-","-","-","0.120","0.000","0.00","0","0.120 / 1","0.125 / 90"
"04 Mar 2019","AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019","AEM-WA","-","-","-","0.005","0.000","0.00","0","0.005 / 31,000","0.010 / 25,816"
"04 Mar 2019","AEMULUS HOLDINGS BERHAD","AEMULUS","0.245","0.240","0.250","0.250","0.005","2.04","18,022","0.245 / 2,210","0.250 / 4,363"
"04 Mar 2019","AEON CO. (M) BHD","AEON","1.600","1.590","1.640","1.620","0.020","1.25","9,141","1.610 / 328","1.620 / 754"
