thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"26 Feb 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.225","0.195","0.250","0.200","-0.025","-11.11","55,377","0.190 / 100","0.200 / 500"
"26 Feb 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.785","0.735","0.795","0.735","-0.065","-8.13","300","0.000 / 0","0.000 / 0"
"26 Feb 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.495","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.260","0.235","0.270","0.240","-0.030","-11.11","31,694","0.000 / 0","0.000 / 0"
"26 Feb 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.350","0.310","0.370","0.315","-0.035","-10.00","346,850","0.250 / 60","0.365 / 200"
"26 Feb 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.725","0.725","0.725","0.725","-0.025","-3.33","500","0.000 / 0","0.000 / 0"
"26 Feb 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","0.950","0.950","0.950","0.950","0.090","10.47","100","0.000 / 0","0.000 / 0"
"26 Feb 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.550","0.505","0.570","0.510","-0.060","-10.53","41,738","0.000 / 0","0.000 / 0"
"26 Feb 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","-","-","-","0.015","0.000","0.00","0","0.000 / 0","0.010 / 450"
"26 Feb 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.010 / 1,000","0.000 / 0"
"26 Feb 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.090","0.085","0.100","0.095","0.010","11.76","24,503","0.090 / 722","0.100 / 200"
"26 Feb 2019","ASTRAL ASIA BHD","AASIA","-","-","-","0.145","0.000","0.00","0","0.145 / 875","0.155 / 410"
"26 Feb 2019","AIRASIA X BERHAD","AAX","0.265","0.260","0.265","0.265","0.005","1.92","69,458","0.260 / 60,598","0.265 / 56,458"
"26 Feb 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 11,500"
"26 Feb 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.055","0.055","0.060","0.060","0.000","0.00","4,797","0.055 / 23,335","0.060 / 10,673"
"26 Feb 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","1.167","1.167","1.167","1.167","0.001","0.09","5","1.162 / 1,000","1.167 / 995"
"26 Feb 2019","ABLEGROUP BERHAD","ABLEGRP","-","-","-","0.075","0.000","0.00","0","0.070 / 12,150","0.075 / 190"
"26 Feb 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.250","4.220","4.250","4.250","0.000","0.00","17,789","4.240 / 429","4.250 / 2,314"
"26 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.230","0.000","0.00","0","0.250 / 100","0.300 / 47"
"26 Feb 2019","ACOUSTECH BHD","ACOSTEC","0.445","0.425","0.450","0.450","0.000","0.00","19,472","0.440 / 375","0.445 / 150"
"26 Feb 2019","ADVANCECON HOLDINGS BERHAD","ADVCON","0.355","0.335","0.355","0.340","-0.015","-4.23","9,269","0.335 / 699","0.340 / 997"
"26 Feb 2019","ADVENTA BHD","ADVENTA","-","-","-","0.370","0.000","0.00","0","0.360 / 100","0.370 / 102"
"26 Feb 2019","ADVANCED PACKAGING TECHNOLOGY","ADVPKG","1.930","1.920","1.930","1.920","-0.010","-0.52","80","1.780 / 40","2.000 / 80"
"26 Feb 2019","AE MULTI HOLDINGS BHD","AEM","0.120","0.115","0.120","0.115","-0.005","-4.17","1,462","0.115 / 3,183","0.120 / 100"
"26 Feb 2019","AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019","AEM-WA","0.005","0.005","0.005","0.005","0.000","0.00","1,500","0.005 / 16,500","0.010 / 35,022"
"26 Feb 2019","AEMULUS HOLDINGS BERHAD","AEMULUS","0.250","0.245","0.255","0.245","-0.010","-3.92","11,685","0.245 / 5,469","0.250 / 4,476"
"26 Feb 2019","AEON CO. (M) BHD","AEON","1.590","1.570","1.600","1.580","-0.010","-0.63","46,167","1.580 / 1,062","1.590 / 150"
"26 Feb 2019","AEON-CN: CW AEON CO. (M) BERHAD (MIBB)","AEON-CN","-","-","-","0.015","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","AEON-CO: CW AEON CO. (M) BERHAD (CIMB)","AEON-CO","0.055","0.055","0.055","0.055","-0.005","-8.33","12,161","0.055 / 181","0.060 / 6,360"
"26 Feb 2019","AEON-CP: CW AEON CO (M) BERHAD (RHB)","AEON-CP","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)","AEON-CQ","-","-","-","0.040","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","AEON CREDIT SERVICE (M) BHD","AEONCR","17.000","16.720","17.000","16.800","-0.080","-0.47","803","16.720 / 62","16.800 / 1"
"26 Feb 2019","AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020","AEONCR-LA","1.520","1.520","1.630","1.630","0.120","7.95","323","1.350 / 100","1.550 / 12"
"26 Feb 2019","AFFIN BANK BERHAD","AFFIN","2.300","2.290","2.320","2.320","0.020","0.87","3,809","2.300 / 1,790","2.320 / 243"
"26 Feb 2019","ABM FUJIYA BERHAD","AFUJIYA","0.530","0.530","0.530","0.530","0.000","0.00","19","0.500 / 40","0.530 / 231"
"26 Feb 2019","AHB HOLDINGS BHD","AHB","0.135","0.135","0.135","0.135","0.000","0.00","2,416","0.130 / 2,900","0.135 / 200"
"26 Feb 2019","AHB HOLDINGS BERHAD - WARRANTS B 2014/2019","AHB-WB","0.005","0.005","0.010","0.010","0.005","100.00","270","0.005 / 6,440","0.010 / 16,725"
"26 Feb 2019","APEX HEALTHCARE BHD","AHEALTH","8.800","8.550","8.800","8.550","-0.250","-2.84","149","8.550 / 20","8.800 / 58"
"26 Feb 2019","AMANAH HARTA TANAH PNB","AHP","0.750","0.740","0.750","0.740","-0.020","-2.63","80","0.740 / 301","0.770 / 78"
"26 Feb 2019","ADVANCE INFORMATION MARKETING","AIM","-","-","-","0.280","0.000","0.00","0","0.240 / 200","0.400 / 2,000"
"26 Feb 2019","AIRASIA GROUP BERHAD","AIRASIA","3.080","3.080","3.110","3.100","0.030","0.98","36,295","3.090 / 514","3.100 / 271"
"26 Feb 2019","AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC59","-","-","-","0.025","0.000","0.00","0","0.005 / 3,000","0.000 / 0"
"26 Feb 2019","AIRASIAC65: CW AIRASIA GROUP BERHAD (CIMB)","AIRASIAC65","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"26 Feb 2019","AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB)","AIRASIAC67","0.200","0.200","0.210","0.205","0.010","5.13","5,677","0.200 / 150","0.210 / 500"
"26 Feb 2019","AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC68","0.030","0.030","0.030","0.030","-0.020","-40.00","3,000","0.030 / 200","0.035 / 500"
