thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"25 Feb 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.120","0.120","0.235","0.225","0.135","150.00","65,332","0.195 / 200","0.240 / 150"
"25 Feb 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.645","0.645","0.800","0.800","0.300","60.00","400","0.000 / 0","0.000 / 0"
"25 Feb 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","0.410","0.410","0.495","0.495","0.115","30.26","86,944","0.000 / 0","0.000 / 0"
"25 Feb 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.265","0.265","0.275","0.270","0.085","45.95","25,304","0.000 / 0","0.000 / 0"
"25 Feb 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.255","0.255","0.360","0.350","0.120","52.17","64,282","0.220 / 200","0.000 / 0"
"25 Feb 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.590","0.590","0.750","0.750","0.250","50.00","9,631","0.000 / 0","0.000 / 0"
"25 Feb 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","0.855","0.855","0.860","0.860","0.080","10.26","150","0.000 / 0","0.000 / 0"
"25 Feb 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.475","0.460","0.575","0.570","0.150","35.71","124,492","0.490 / 100","0.000 / 0"
"25 Feb 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"25 Feb 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","0.015","0.015","0.015","0.015","0.000","0.00","670","0.000 / 0","0.010 / 450"
"25 Feb 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.010 / 700","0.000 / 0"
"25 Feb 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.115","0.080","0.120","0.085","-0.050","-37.04","29,362","0.075 / 1,500","0.090 / 398"
"25 Feb 2019","ASTRAL ASIA BHD","AASIA","-","-","-","0.145","0.000","0.00","0","0.145 / 1,025","0.155 / 410"
"25 Feb 2019","AIRASIA X BERHAD","AAX","0.260","0.260","0.265","0.260","0.000","0.00","171,049","0.260 / 120,567","0.265 / 33,110"
"25 Feb 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 11,500"
"25 Feb 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"25 Feb 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.055","0.055","0.060","0.060","0.000","0.00","11,164","0.055 / 27,565","0.060 / 4,412"
"25 Feb 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","1.166","1.166","1.166","1.166","-0.004","-0.34","1,000","1.163 / 1,000","1.168 / 1,000"
"25 Feb 2019","ABLEGROUP BERHAD","ABLEGRP","0.075","0.070","0.075","0.075","-0.005","-6.25","320","0.070 / 13,150","0.075 / 650"
"25 Feb 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.230","4.230","4.260","4.250","0.000","0.00","3,806","4.220 / 50","4.250 / 487"
"25 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"25 Feb 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"25 Feb 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.230","0.000","0.00","0","0.250 / 100","0.300 / 47"
"25 Feb 2019","ACOUSTECH BHD","ACOSTEC","0.430","0.420","0.450","0.450","0.020","4.65","23,618","0.445 / 167","0.450 / 1,038"
"25 Feb 2019","ADVANCECON HOLDINGS BERHAD","ADVCON","0.360","0.355","0.370","0.355","0.000","0.00","24,154","0.355 / 1,053","0.360 / 350"
