thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"07 Mar 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.265","0.220","0.265","0.220","-0.070","-24.14","8,205","0.210 / 100","0.250 / 400"
"07 Mar 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.865","0.795","0.865","0.795","-0.115","-12.64","500","0.000 / 0","0.795 / 100"
"07 Mar 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.505","0.000","0.00","0","0.000 / 0","0.000 / 0"
"07 Mar 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.280","0.255","0.280","0.255","-0.035","-12.07","11,260","0.000 / 0","0.000 / 0"
"07 Mar 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.390","0.335","0.390","0.335","-0.070","-17.28","140,289","0.335 / 40","0.340 / 270"
"07 Mar 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.780","0.780","0.780","0.780","-0.040","-4.88","121","0.000 / 0","0.000 / 0"
"07 Mar 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","0.990","0.970","0.990","0.970","-0.090","-8.49","111","0.000 / 0","0.000 / 0"
"07 Mar 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.580","0.550","0.580","0.550","-0.060","-9.84","1,500","0.000 / 0","0.000 / 0"
"07 Mar 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"07 Mar 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.050 / 56"
"07 Mar 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.015 / 400","0.000 / 0"
"07 Mar 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.075","0.075","0.080","0.080","0.015","23.08","7,685","0.080 / 300","0.090 / 735"
"07 Mar 2019","ASTRAL ASIA BHD","AASIA","0.155","0.145","0.155","0.145","-0.005","-3.33","420","0.145 / 845","0.180 / 210"
"07 Mar 2019","AIRASIA X BERHAD","AAX","0.255","0.250","0.255","0.250","-0.005","-1.96","34,099","0.250 / 31,807","0.255 / 22,282"
"07 Mar 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 10,330"
