thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"05 Mar 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.290","0.280","0.305","0.300","-0.010","-3.23","32,828","0.270 / 50","0.310 / 1"
"05 Mar 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.910","0.910","0.910","0.910","-0.005","-0.55","100","0.000 / 0","0.000 / 0"
"05 Mar 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.505","0.000","0.00","0","0.000 / 0","0.000 / 0"
"05 Mar 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.295","0.290","0.305","0.295","0.000","0.00","11,166","0.000 / 0","0.300 / 200"
"05 Mar 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.400","0.395","0.415","0.410","-0.010","-2.38","166,114","0.390 / 150","0.420 / 309"
"05 Mar 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.950","0.870","0.950","0.870","-0.070","-7.45","51","0.835 / 100","0.000 / 0"
"05 Mar 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","1.060","1.060","1.060","1.060","0.145","15.85","54","0.000 / 0","0.000 / 0"
"05 Mar 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.620","0.620","0.620","0.620","0.010","1.64","774","0.000 / 0","0.000 / 0"
"05 Mar 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"05 Mar 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.035 / 56"
"05 Mar 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.010 / 200","0.000 / 0"
"05 Mar 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.075","0.065","0.075","0.070","0.005","7.69","15,053","0.065 / 1,100","0.070 / 2,542"
"05 Mar 2019","ASTRAL ASIA BHD","AASIA","-","-","-","0.145","0.000","0.00","0","0.145 / 605","0.155 / 410"
"05 Mar 2019","AIRASIA X BERHAD","AAX","0.245","0.245","0.250","0.245","-0.005","-2.00","63,812","0.245 / 31,239","0.250 / 20,038"
"05 Mar 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 10,330"
"05 Mar 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"05 Mar 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.050","0.050","0.055","0.055","0.000","0.00","2,207","0.050 / 39,586","0.055 / 12,332"
"05 Mar 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","-","-","-","1.167","0.000","0.00","0","1.167 / 13","1.168 / 1,000"
"05 Mar 2019","ABLEGROUP BERHAD","ABLEGRP","0.070","0.070","0.070","0.070","0.000","0.00","65","0.070 / 9,184","0.075 / 1,908"
"05 Mar 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.160","4.160","4.230","4.230","0.030","0.71","6,929","4.200 / 600","4.230 / 53"
"27 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"05 Mar 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"05 Mar 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.230","0.000","0.00","0","0.250 / 280","0.300 / 47"
"05 Mar 2019","ACOUSTECH BHD","ACOSTEC","0.430","0.430","0.440","0.435","-0.005","-1.14","14,706","0.430 / 1,085","0.435 / 1,343"
"05 Mar 2019","ADVANCECON HOLDINGS BERHAD","ADVCON","0.345","0.345","0.350","0.350","0.005","1.45","2,964","0.345 / 685","0.350 / 1,178"
"05 Mar 2019","ADVENTA BHD","ADVENTA","0.360","0.355","0.360","0.355","-0.005","-1.39","58","0.355 / 198","0.390 / 332"
"05 Mar 2019","ADVANCED PACKAGING TECHNOLOGY","ADVPKG","-","-","-","1.900","0.000","0.00","0","1.800 / 50","2.000 / 179"
"05 Mar 2019","AE MULTI HOLDINGS BHD","AEM","0.120","0.120","0.120","0.120","0.000","0.00","1,300","0.115 / 1,497","0.120 / 760"
"05 Mar 2019","AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019","AEM-WA","0.005","0.005","0.005","0.005","0.000","0.00","7,765","0.005 / 13,535","0.010 / 25,316"
"05 Mar 2019","AEMULUS HOLDINGS BERHAD","AEMULUS","0.250","0.240","0.250","0.245","-0.005","-2.00","6,275","0.245 / 596","0.250 / 5,480"
"05 Mar 2019","AEON CO. (M) BHD","AEON","1.630","1.580","1.650","1.610","-0.010","-0.62","10,373","1.590 / 1,313","1.620 / 243"
"28 Feb 2019","AEON-CN: CW AEON CO. (M) BERHAD (MIBB)","AEON-CN","-","-","-","0.015","0.000","0.00","0","0.000 / 0","0.000 / 0"
"05 Mar 2019","AEON-CO: CW AEON CO. (M) BERHAD (CIMB)","AEON-CO","-","-","-","0.060","0.000","0.00","0","0.050 / 2,100","0.060 / 81"
"05 Mar 2019","AEON-CP: CW AEON CO (M) BERHAD (RHB)","AEON-CP","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
