thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"01 Mar 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.210","0.210","0.280","0.275","0.075","37.50","16,679","0.220 / 500","0.275 / 10"
"01 Mar 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.800","0.800","0.830","0.830","0.095","12.93","400","0.000 / 0","0.000 / 0"
"01 Mar 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","0.465","0.465","0.505","0.505","0.045","9.78","1,001","0.000 / 0","0.000 / 0"
"01 Mar 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.250","0.245","0.285","0.285","0.045","18.75","9,074","0.000 / 0","0.000 / 0"
"01 Mar 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.335","0.330","0.390","0.390","0.075","23.81","240,519","0.370 / 200","0.390 / 50"
"01 Mar 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.795","0.795","0.810","0.810","0.085","11.72","6","0.000 / 0","0.815 / 1"
"01 Mar 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","-","-","-","0.915","0.000","0.00","0","1.000 / 50","0.000 / 0"
"01 Mar 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.530","0.525","0.590","0.590","0.075","14.56","21,766","0.585 / 100","0.000 / 0"
"01 Mar 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"01 Mar 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","0.005","0.005","0.005","0.005","-0.005","-50.00","85","0.000 / 0","0.020 / 200"
"01 Mar 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.010 / 200","0.000 / 0"
"01 Mar 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.090","0.070","0.090","0.075","-0.020","-21.05","14,959","0.075 / 200","0.080 / 500"
"01 Mar 2019","ASTRAL ASIA BHD","AASIA","0.145","0.145","0.145","0.145","0.000","0.00","255","0.145 / 350","0.155 / 410"
"01 Mar 2019","AIRASIA X BERHAD","AAX","0.250","0.240","0.255","0.255","0.005","2.00","106,742","0.250 / 50,309","0.255 / 26,405"
"01 Mar 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 11,500"
"01 Mar 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"01 Mar 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.055","0.050","0.055","0.055","0.000","0.00","3,421","0.050 / 42,173","0.055 / 7,314"
"01 Mar 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","-","-","-","1.167","0.000","0.00","0","1.163 / 1,000","1.168 / 1,000"
"01 Mar 2019","ABLEGROUP BERHAD","ABLEGRP","0.070","0.070","0.070","0.070","0.000","0.00","201","0.070 / 9,549","0.075 / 1,707"
"01 Mar 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.050","4.050","4.260","4.200","0.240","6.06","34,998","4.200 / 168","4.230 / 187"
"27 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"01 Mar 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"01 Mar 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.230","0.000","0.00","0","0.250 / 280","0.300 / 47"
"01 Mar 2019","ACOUSTECH BHD","ACOSTEC","0.420","0.410","0.445","0.430","-0.005","-1.15","18,847","0.430 / 13","0.435 / 100"
"01 Mar 2019","ADVANCECON HOLDINGS BERHAD","ADVCON","0.330","0.320","0.360","0.340","0.005","1.49","10,215","0.340 / 115","0.345 / 837"
"01 Mar 2019","ADVENTA BHD","ADVENTA","0.370","0.370","0.370","0.370","0.005","1.37","270","0.355 / 350","0.400 / 10"
"01 Mar 2019","ADVANCED PACKAGING TECHNOLOGY","ADVPKG","1.900","1.900","1.900","1.900","-0.020","-1.04","100","1.850 / 100","2.000 / 179"
"01 Mar 2019","AE MULTI HOLDINGS BHD","AEM","0.115","0.115","0.120","0.120","0.000","0.00","60","0.120 / 20","0.125 / 690"
"01 Mar 2019","AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019","AEM-WA","0.005","0.005","0.005","0.005","-0.005","-50.00","10,000","0.005 / 39,200","0.010 / 26,816"
"01 Mar 2019","AEMULUS HOLDINGS BERHAD","AEMULUS","0.245","0.240","0.250","0.245","0.000","0.00","16,840","0.245 / 3,355","0.250 / 3,580"
"01 Mar 2019","AEON CO. (M) BHD","AEON","1.650","1.600","1.660","1.600","-0.050","-3.03","7,847","1.600 / 1,144","1.610 / 2,012"
"28 Feb 2019","AEON-CN: CW AEON CO. (M) BERHAD (MIBB)","AEON-CN","-","-","-","0.015","0.000","0.00","0","0.000 / 0","0.000 / 0"
"01 Mar 2019","AEON-CO: CW AEON CO. (M) BERHAD (CIMB)","AEON-CO","0.065","0.055","0.065","0.055","-0.005","-8.33","8,265","0.050 / 3,000","0.060 / 960"
"01 Mar 2019","AEON-CP: CW AEON CO (M) BERHAD (RHB)","AEON-CP","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"01 Mar 2019","AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)","AEON-CQ","0.035","0.030","0.035","0.030","-0.010","-25.00","1,520","0.000 / 0","0.045 / 500"
"01 Mar 2019","AEON CREDIT SERVICE (M) BHD","AEONCR","16.760","16.500","17.280","16.700","0.160","0.97","1,144","16.640 / 13","16.700 / 136"
"01 Mar 2019","AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020","AEONCR-LA","1.550","1.500","1.550","1.500","0.010","0.67","60","1.500 / 69","1.540 / 5"
"01 Mar 2019","AFFIN BANK BERHAD","AFFIN","2.300","2.280","2.310","2.280","-0.040","-1.72","1,384","2.280 / 164","2.300 / 226"
"01 Mar 2019","ABM FUJIYA BERHAD","AFUJIYA","0.530","0.490","0.540","0.500","-0.030","-5.66","242","0.500 / 94","0.520 / 37"
"01 Mar 2019","AHB HOLDINGS BHD","AHB","0.130","0.130","0.135","0.135","0.005","3.85","808","0.130 / 900","0.135 / 1,079"
"01 Mar 2019","AHB HOLDINGS BERHAD - WARRANTS B 2014/2019","AHB-WB","0.005","0.005","0.010","0.005","0.000","0.00","6,897","0.005 / 54","0.010 / 12,962"
