thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"08 Mar 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.200","0.100","0.200","0.105","-0.115","-52.27","19,057","0.105 / 490","0.110 / 155"
"08 Mar 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.705","0.645","0.705","0.645","-0.150","-18.87","310","0.000 / 0","0.000 / 0"
"08 Mar 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.505","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.215","0.200","0.235","0.200","-0.055","-21.57","27,414","0.195 / 150","0.235 / 300"
"08 Mar 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.280","0.245","0.315","0.285","-0.050","-14.93","126,915","0.245 / 20","0.285 / 234"
"08 Mar 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","-","-","-","0.780","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","-","-","-","0.970","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.460","0.455","0.460","0.455","-0.095","-17.27","130","0.000 / 0","0.000 / 0"
"08 Mar 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.050 / 56"
"08 Mar 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.010 / 200","0.000 / 0"
"08 Mar 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.090","0.090","0.115","0.115","0.035","43.75","12,243","0.115 / 82","0.120 / 400"
"08 Mar 2019","ASTRAL ASIA BHD","AASIA","-","-","-","0.145","0.000","0.00","0","0.145 / 855","0.175 / 210"
"08 Mar 2019","AIRASIA X BERHAD","AAX","0.250","0.250","0.255","0.255","0.005","2.00","20,161","0.250 / 61,440","0.255 / 21,551"
"08 Mar 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 10,330"
"08 Mar 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.055","0.050","0.055","0.050","-0.005","-9.09","2,747","0.050 / 38,009","0.055 / 11,606"
"08 Mar 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","-","-","-","1.167","0.000","0.00","0","1.167 / 13","1.170 / 1,000"
"08 Mar 2019","ABLEGROUP BERHAD","ABLEGRP","0.075","0.070","0.080","0.075","0.005","7.14","8,102","0.075 / 6,890","0.080 / 6,429"
"08 Mar 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.210","4.140","4.220","4.140","-0.080","-1.90","4,362","4.140 / 147","4.190 / 50"
"27 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.250","0.000","0.00","0","0.250 / 60","0.300 / 47"
"08 Mar 2019","ACOUSTECH BHD","ACOSTEC","0.455","0.450","0.460","0.455","0.000","0.00","11,561","0.450 / 211","0.455 / 562"
"08 Mar 2019","ADVANCECON HOLDINGS BERHAD","ADVCON","0.385","0.385","0.395","0.390","0.015","4.00","50,972","0.390 / 16","0.395 / 4,343"
"08 Mar 2019","ADVENTA BHD","ADVENTA","-","-","-","0.385","0.000","0.00","0","0.355 / 150","0.380 / 500"
"08 Mar 2019","ADVANCED PACKAGING TECHNOLOGY","ADVPKG","-","-","-","1.900","0.000","0.00","0","1.820 / 20","2.000 / 179"
"08 Mar 2019","AE MULTI HOLDINGS BHD","AEM","-","-","-","0.110","0.000","0.00","0","0.110 / 3,170","0.115 / 500"
"08 Mar 2019","AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019","AEM-WA","-","-","-","0.005","0.000","0.00","0","0.005 / 12,435","0.010 / 22,582"
"08 Mar 2019","AEMULUS HOLDINGS BERHAD","AEMULUS","0.255","0.250","0.255","0.250","-0.005","-1.96","9,041","0.250 / 1,478","0.255 / 1,937"
"08 Mar 2019","AEON CO. (M) BHD","AEON","1.600","1.580","1.620","1.600","0.000","0.00","9,026","1.580 / 619","1.600 / 1,699"
"28 Feb 2019","AEON-CN: CW AEON CO. (M) BERHAD (MIBB)","AEON-CN","-","-","-","0.015","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","AEON-CO: CW AEON CO. (M) BERHAD (CIMB)","AEON-CO","0.050","0.050","0.055","0.055","0.000","0.00","4,393","0.050 / 640","0.055 / 1,520"
"08 Mar 2019","AEON-CP: CW AEON CO (M) BERHAD (RHB)","AEON-CP","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)","AEON-CQ","-","-","-","0.030","0.000","0.00","0","0.000 / 0","0.000 / 0"
"08 Mar 2019","AEON CREDIT SERVICE (M) BHD","AEONCR","17.100","16.980","17.260","17.200","0.000","0.00","2,412","17.160 / 15","17.200 / 103"
"08 Mar 2019","AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020","AEONCR-LA","1.590","1.550","1.590","1.570","-0.050","-3.09","409","1.520 / 10","1.570 / 8"
"08 Mar 2019","AFFIN BANK BERHAD","AFFIN","2.280","2.260","2.300","2.270","-0.010","-0.44","661","2.270 / 359","2.300 / 270"
"08 Mar 2019","ABM FUJIYA BERHAD","AFUJIYA","0.510","0.510","0.510","0.510","-0.030","-5.56","100","0.510 / 50","0.525 / 37"
"08 Mar 2019","AHB HOLDINGS BHD","AHB","0.130","0.130","0.135","0.135","-0.005","-3.57","1,191","0.130 / 1,056","0.135 / 689"
"08 Mar 2019","AHB HOLDINGS BERHAD - WARRANTS B 2014/2019","AHB-WB","0.005","0.005","0.005","0.005","0.000","0.00","4,103","0.005 / 13,059","0.010 / 20,026"
"08 Mar 2019","APEX HEALTHCARE BHD","AHEALTH","9.630","9.370","9.630","9.390","-0.200","-2.09","315","9.380 / 12","9.390 / 20"
"08 Mar 2019","AMANAH HARTA TANAH PNB","AHP","-","-","-","0.750","0.000","0.00","0","0.740 / 10","0.750 / 37"
"08 Mar 2019","ADVANCE INFORMATION MARKETING","AIM","-","-","-","0.280","0.000","0.00","0","0.250 / 250","0.300 / 250"
"08 Mar 2019","AIRASIA GROUP BERHAD","AIRASIA","2.840","2.830","2.900","2.870","0.040","1.41","103,606","2.860 / 3,754","2.870 / 2,054"
"08 Mar 2019","AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC59","-","-","-","0.025","0.000","0.00","0","0.000 / 0","0.000 / 0"
