thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"27 Feb 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.220","0.190","0.235","0.210","0.010","5.00","19,300","0.015 / 1,000","0.210 / 100"
"27 Feb 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","-","-","-","0.735","0.000","0.00","0","0.000 / 0","0.000 / 0"
"27 Feb 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.495","0.000","0.00","0","0.000 / 0","0.000 / 0"
"27 Feb 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.250","0.240","0.260","0.245","0.005","2.08","17,079","0.000 / 0","0.260 / 300"
"27 Feb 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.335","0.310","0.350","0.330","0.015","4.76","430,101","0.320 / 50","0.340 / 100"
"27 Feb 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","-","-","-","0.725","0.000","0.00","0","0.670 / 150","0.000 / 0"
"27 Feb 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","0.915","0.915","0.915","0.915","-0.035","-3.68","11","0.000 / 0","0.000 / 0"
"27 Feb 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.535","0.505","0.545","0.525","0.015","2.94","20,370","0.000 / 0","0.525 / 100"
"27 Feb 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"27 Feb 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","0.010","0.010","0.010","0.010","-0.005","-33.33","365","0.005 / 1,000","0.010 / 85"
"27 Feb 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.010 / 700","0.000 / 0"
"27 Feb 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.090","0.090","0.100","0.095","0.000","0.00","10,300","0.090 / 683","0.100 / 100"
"27 Feb 2019","ASTRAL ASIA BHD","AASIA","-","-","-","0.145","0.000","0.00","0","0.145 / 500","0.155 / 410"
"27 Feb 2019","AIRASIA X BERHAD","AAX","0.260","0.255","0.260","0.260","-0.005","-1.89","63,415","0.255 / 75,082","0.260 / 44,426"
"27 Feb 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 10,000"
"27 Feb 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"27 Feb 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.055","0.055","0.060","0.055","-0.005","-8.33","18,414","0.055 / 746","0.060 / 15,095"
"27 Feb 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","-","-","-","1.167","0.000","0.00","0","1.162 / 1,000","1.167 / 1,000"
"27 Feb 2019","ABLEGROUP BERHAD","ABLEGRP","-","-","-","0.075","0.000","0.00","0","0.070 / 12,150","0.080 / 5,767"
"27 Feb 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.240","4.200","4.250","4.210","-0.040","-0.94","2,114","4.180 / 30","4.210 / 578"
"27 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"27 Feb 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"27 Feb 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.230","0.000","0.00","0","0.250 / 100","0.300 / 47"
