thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"13 Mar 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.140","0.120","0.145","0.135","-0.005","-3.57","15,830","0.105 / 100","0.155 / 500"
"13 Mar 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","0.670","0.670","0.670","0.670","-0.015","-2.19","100","0.000 / 0","0.000 / 0"
"13 Mar 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.430","0.000","0.00","0","0.000 / 0","0.000 / 0"
"13 Mar 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.225","0.210","0.225","0.220","0.000","0.00","19,308","0.000 / 0","0.000 / 0"
"13 Mar 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.285","0.265","0.290","0.280","-0.010","-3.45","112,878","0.280 / 270","0.285 / 490"
"13 Mar 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.650","0.650","0.650","0.650","-0.040","-5.80","1","0.000 / 0","0.000 / 0"
"13 Mar 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","-","-","-","0.880","0.000","0.00","0","0.000 / 0","0.000 / 0"
"13 Mar 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.500","0.470","0.500","0.490","-0.005","-1.01","5,363","0.475 / 100","0.000 / 0"
"13 Mar 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"13 Mar 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.050 / 56"
"13 Mar 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.000 / 0","0.000 / 0"
"13 Mar 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.090","0.090","0.095","0.090","-0.010","-10.00","7,863","0.090 / 111","0.110 / 3,300"
"13 Mar 2019","ASTRAL ASIA BHD","AASIA","-","-","-","0.145","0.000","0.00","0","0.145 / 800","0.180 / 100"
"13 Mar 2019","AIRASIA X BERHAD","AAX","0.250","0.250","0.270","0.265","0.015","6.00","457,437","0.260 / 74,752","0.265 / 21,660"
